Year,League,Player,Team,Batting Average
1876,NL,Ross Barnes,Chicago,0.429
1877,NL,Deacon White,Boston,0.387
1878,NL,Paul Hines,Providence,0.358
1879,NL,Paul Hines,Providence,0.357
1880,NL,George Gore,Chicago,0.36
1881,NL,Cap Anson,Chicago,0.399
1882,NL,Dan Brouthers,Buffalo,0.368
1883,NL,Dan Brouthers,Buffalo,0.374
1884,NL,King Kelly,Chicago,0.354
1885,NL,Roger Connor,New York,0.371
1886,NL,King Kelly,Chicago,0.388
1887,NL,Cap Anson,Chicago,0.347
1888,NL,Cap Anson,Chicago,0.344
1889,NL,Dan Brouthers,Boston,0.373
1890,NL,Jack Glasscock,New York,0.336
1891,NL,Billy Hamilton,Philadelphia,0.34
1892,NL,Dan Brouthers,Brooklyn,0.335
1893,NL,Sam Thompson,Philadelphia,0.37
1894,NL,Hugh Duffy,Boston,0.44
1895,NL,Jesse Burkett,Cleveland,0.409
1896,NL,Jesse Burkett,Cleveland,0.41
1897,NL,Willie Keeler,Baltimore,0.424
1898,NL,Willie Keeler,Baltimore,0.385
1899,NL,Ed Delahanty,Philadelphia,0.41
1900,NL,Honus Wagner,Pittsburgh,0.381
1901,AL,Nap Lajoie,Philadelphia,0.421
1901,NL,Jesse Burkett,St. Louis,0.376
1902,AL,Ed Delahanty,Washington,0.376
1902,NL,Ginger Beaumont,Pittsburgh,0.357
1903,AL,Nap Lajoie,Cleveland,0.357
1903,NL,Honus Wagner,Pittsburgh,0.355
1904,AL,Nap Lajoie,Cleveland,0.382
1904,NL,Honus Wagner,Pittsburgh,0.349
1905,AL,Elmer Flick,Cleveland,0.308
1905,NL,Cy Seymour,Cincinnati,0.377
1906,AL,George Stone,St. Louis,0.358
1906,NL,Honus Wagner,Pittsburgh,0.339
1907,AL,Ty Cobb,Detroit,0.35
1907,NL,Honus Wagner,Pittsburgh,0.35
1908,AL,Ty Cobb,Detroit,0.324
1908,NL,Honus Wagner,Pittsburgh,0.354
1909,AL,Ty Cobb,Detroit,0.377
1909,NL,Honus Wagner,Pittsburgh,0.339
1910,AL,Ty Cobb,Detroit,0.383
1910,NL,Sherry Magee,Philadelphia,0.331
1911,AL,Ty Cobb,Detroit,0.419
1911,NL,Honus Wagner,Pittsburgh,0.334
1912,AL,Ty Cobb,Detroit,0.409
1912,NL,Heinie Zimmerman,Chicago,0.372
1913,AL,Ty Cobb,Detroit,0.39
1913,NL,Jake Daubert,Brooklyn,0.35
1914,AL,Ty Cobb,Detroit,0.368
1914,NL,Jake Daubert,Brooklyn,0.329
1915,AL,Ty Cobb,Detroit,0.369
1915,NL,Larry Doyle,New York,0.32
1916,AL,Tris Speaker,Cleveland,0.386
1916,NL,Hal Chase,Cincinnati,0.339
1917,AL,Ty Cobb,Detroit,0.383
1917,NL,Edd Roush,Cincinnati,0.341
1918,AL,Ty Cobb,Detroit,0.382
1918,NL,Zack Wheat,Brooklyn,0.335
1919,AL,Ty Cobb,Detroit,0.384
1919,NL,Edd Roush,Cincinnati,0.321
1920,AL,George Sisler,St. Louis,0.407
1920,NL,Rogers Hornsby,St. Louis,0.37
1921,AL,Harry Heilmann,Detroit,0.394
1921,NL,Rogers Hornsby,St. Louis,0.397
1922,AL,George Sisler,St. Louis,0.42
1922,NL,Rogers Hornsby,St. Louis,0.401
1923,AL,Harry Heilmann,Detroit,0.403
1923,NL,Rogers Hornsby,St. Louis,0.384
1924,AL,Babe Ruth,New York,0.378
1924,NL,Rogers Hornsby,St. Louis,0.424
1925,AL,Harry Heilmann,Detroit,0.393
1925,NL,Rogers Hornsby,St. Louis,0.403
1926,AL,Heinie Manush,Detroit,0.378
1926,NL,Bubbles Hargrave,Cincinnati,0.353
1927,AL,Harry Heilmann,Detroit,0.398
1927,NL,Paul Waner,Pittsburgh,0.38
1928,AL,Goose Goslin,Washington,0.379
1928,NL,Rogers Hornsby,Boston,0.387
1929,AL,Lew Fonseca,Cleveland,0.369
1929,NL,Lefty O'Doul,Philadelphia,0.398
1930,AL,Al Simmons,Philadelphia,0.381
1930,NL,Bill Terry,New York,0.401
1931,AL,Al Simmons,Philadelphia,0.39
1931,NL,Chick Hafey,St. Louis,0.349
1932,AL,Dale Alexander,Boston,0.367
1932,NL,Lefty O'Doul,Brooklyn,0.368
1933,AL,Jimmie Foxx,Philadelphia,0.356
1933,NL,Chuck Klein,Philadelphia,0.368
1934,AL,Lou Gehrig,New York,0.363
1934,NL,Paul Waner,Pittsburgh,0.362
1935,AL,Buddy Myer,Washington,0.349
1935,NL,Arky Vaughan,Pittsburgh,0.385
1936,AL,Luke Appling,Chicago,0.388
1936,NL,Paul Waner,Pittsburgh,0.373
1937,AL,Charlie Gehringer,Detroit,0.371
1937,NL,Joe Medwick,St. Louis,0.374
1938,AL,Jimmie Foxx,Boston,0.349
1938,NL,Ernie Lombardi,Cincinnati,0.342
1939,AL,Joe DiMaggio,New York,0.381
1939,NL,Johnny Mize,St. Louis,0.349
1940,AL,Joe DiMaggio,New York,0.352
1940,NL,Stan Hack,Chicago,0.317
1941,AL,Ted Williams,Boston,0.406
1941,NL,Pete Reiser,Brooklyn,0.343
1942,AL,Ted Williams,Boston,0.356
1942,NL,Ernie Lombardi,Boston,0.33
1943,AL,Luke Appling,Chicago,0.328
1943,NL,Stan Musial,St. Louis,0.357
1944,AL,Lou Boudreau,Cleveland,0.327
1944,NL,Dixie Walker,Brooklyn,0.357
1945,AL,Snuffy Stirnweiss,New York,0.309
1945,NL,Phil Cavarretta,Chicago,0.355
1946,AL,Mickey Vernon,Washington,0.353
1946,NL,Stan Musial,St. Louis,0.365
1947,AL,Ted Williams,Boston,0.343
1947,NL,Harry Walker,Philadelphia,0.363
1948,AL,Ted Williams,Boston,0.369
1948,NL,Stan Musial,St. Louis,0.376
1949,AL,George Kell,Detroit,0.343
1949,NL,Jackie Robinson,Brooklyn,0.342
1950,AL,Billy Goodman,Boston,0.354
1950,NL,Stan Musial,St. Louis,0.346
1951,AL,Ferris Fain,Philadelphia,0.344
1951,NL,Stan Musial,St. Louis,0.355
1952,AL,Ferris Fain,Philadelphia,0.327
1952,NL,Stan Musial,St. Louis,0.336
1953,AL,Mickey Vernon,Washington,0.337
1953,NL,Carl Furillo,Brooklyn,0.344
1954,AL,Bobby Avila,Cleveland,0.341
1954,NL,Willie Mays,New York,0.345
1955,AL,Al Kaline,Detroit,0.34
1955,NL,Richie Ashburn,Philadelphia,0.338
1956,AL,Mickey Mantle,New York,0.353
1956,NL,Hank Aaron,Milwaukee,0.328
1957,AL,Ted Williams,Boston,0.388
1957,NL,Stan Musial,St. Louis,0.351
1958,AL,Ted Williams,Boston,0.328
1958,NL,Richie Ashburn,Philadelphia,0.35
1959,AL,Harvey Kuenn,Detroit,0.353
1959,NL,Hank Aaron,Milwaukee,0.355
1960,AL,Pete Runnels,Boston,0.32
1960,NL,Dick Groat,Pittsburgh,0.325
1961,AL,Norm Cash,Detroit,0.361
1961,NL,Roberto Clemente,Pittsburgh,0.351
1962,AL,Pete Runnels,Boston,0.326
1962,NL,Tommy Davis,Los Angeles,0.346
1963,AL,Carl Yastrzemski,Boston,0.321
1963,NL,Tommy Davis,Los Angeles,0.326
1964,AL,Tony Oliva,Minnesota,0.323
1964,NL,Roberto Clemente,Pittsburgh,0.339
1965,AL,Tony Oliva,Minnesota,0.321
1965,NL,Roberto Clemente,Pittsburgh,0.329
1966,AL,Frank Robinson,Baltimore,0.316
1966,NL,Matty Alou,Pittsburgh,0.342
1967,AL,Carl Yastrzemski,Boston,0.326
1967,NL,Roberto Clemente,Pittsburgh,0.357
1968,AL,Carl Yastrzemski,Boston,0.301
1968,NL,Pete Rose,Cincinnati,0.335
1969,AL,Rod Carew,Minnesota,0.332
1969,NL,Pete Rose,Cincinnati,0.348
1970,AL,Alex Johnson,California,0.329
1970,NL,Rico Carty,Atlanta,0.366
1971,AL,Tony Oliva,Minnesota,0.337
1971,NL,Joe Torre,St. Louis,0.363
1972,AL,Rod Carew,Minnesota,0.318
1972,NL,Billy Williams,Chicago,0.333
