Year,League,Player,Team,Hits
1876,NL,Ross Barnes,Chicago,138.0
1877,NL,Deacon White,Boston,103.0
1878,NL,Joe Start,Chicago,100.0
1879,NL,Paul Hines,Providence,146.0
1880,NL,Abner Dalrymple,Chicago,126.0
1881,NL,Cap Anson,Chicago,137.0
1882,NL,Dan Brouthers,Buffalo,129.0
1883,NL,Dan Brouthers,Buffalo,159.0
1884,NL,Jim O'Rourke,Buffalo,162.0
1885,NL,Roger Connor,New York,169.0
1886,NL,Hardy Richardson,Detroit,189.0
1887,NL,Sam Thompson,Detroit,171.0
1888,NL,Jimmy Ryan,Chicago,182.0
1889,NL,Jack Glasscock,Indianapolis,205.0
1890,NL,Jack Glasscock,New York,172.0
1891,NL,Billy Hamilton,Philadelphia,179.0
1892,NL,Dan Brouthers,Brooklyn,197.0
1893,NL,Sam Thompson,Philadelphia,222.0
1894,NL,Hugh Duffy,Boston,237.0
1895,NL,Jesse Burkett,Cleveland,225.0
1896,NL,Jesse Burkett,Cleveland,240.0
1897,NL,Willie Keeler,Baltimore,239.0
1898,NL,Willie Keeler,Baltimore,216.0
1899,NL,Ed Delahanty,Philadelphia,238.0
1900,NL,Willie Keeler,Brooklyn,204.0
1901,AL,Nap Lajoie,Philadelphia,229.0
1901,NL,Jesse Burkett,St. Louis,226.0
1902,AL,Charlie Hickman,Boston,193.0
1902,NL,Ginger Beaumont,Pittsburgh,193.0
1903,AL,Patsy Dougherty,Boston,195.0
1903,NL,Ginger Beaumont,Pittsburgh,209.0
1904,AL,Nap Lajoie,Cleveland,211.0
1904,NL,Ginger Beaumont,Pittsburgh,185.0
1905,AL,George Stone,St. Louis,187.0
1905,NL,Cy Seymour,Cincinnati,219.0
1906,AL,Nap Lajoie,Cleveland,214.0
1906,NL,Harry Steinfeldt,Chicago,176.0
1907,AL,Ty Cobb,Detroit,212.0
1907,NL,Ginger Beaumont,Boston,187.0
1908,AL,Ty Cobb,Detroit,188.0
1908,NL,Honus Wagner,Pittsburgh,201.0
