Year,League,Player,Team,Slugging Average
1876,NL,Ross Barnes,Chicago,0.59
1877,NL,Deacon White,Boston,0.545
1878,NL,Paul Hines,Providence,0.486
1879,NL,John O'Rourke,Boston,0.521
1880,NL,George Gore,Chicago,0.463
1881,NL,Dan Brouthers,Buffalo,0.541
1882,NL,Dan Brouthers,Buffalo,0.547
1883,NL,Dan Brouthers,Buffalo,0.572
1884,NL,Dan Brouthers,Buffalo,0.563
1885,NL,Dan Brouthers,Buffalo,0.543
1886,NL,Dan Brouthers,Detroit,0.581
1887,NL,Dan Brouthers,Detroit,0.562
1888,NL,Jimmy Ryan,Chicago,0.515
1889,NL,Roger Connor,New York,0.528
1890,NL,Mike Tiernan,New York,0.495
1891,NL,Harry Stovey,Boston,0.498
1892,NL,Ed Delahanty,Philadelphia,0.495
1893,NL,Ed Delahanty,Philadelphia,0.583
1894,NL,Hugh Duffy,Boston,0.694
1895,NL,Sam Thompson,Philadelphia,0.654
1896,NL,Ed Delahanty,Philadelphia,0.631
1897,NL,Nap Lajoie,Philadelphia,0.571
1898,NL,John Anderson,Brooklyn,0.494
1899,NL,Ed Delahanty,Philadelphia,0.582
1900,NL,Honus Wagner,Pittsburgh,0.573
1901,AL,Nap Lajoie,Philadelphia,0.638
1901,NL,Jimmy Sheckard,Brooklyn,0.534
1902,AL,Ed Delahanty,Washington,0.59
1902,NL,Honus Wagner,Pittsburgh,0.464
1903,AL,Nap Lajoie,Cleveland,0.53
1903,NL,Fred Clarke,Pittsburgh,0.532
1904,AL,Nap Lajoie,Cleveland,0.552
1904,NL,Honus Wagner,Pittsburgh,0.52
1905,AL,Elmer Flick,Cleveland,0.462
1905,NL,Cy Seymour,Cincinnati,0.559
1906,AL,George Stone,St. Louis,0.501
1906,NL,Harry Lumley,Brooklyn,0.477
1907,AL,Ty Cobb,Detroit,0.468
1907,NL,Honus Wagner,Pittsburgh,0.513
1908,AL,Ty Cobb,Detroit,0.476
1908,NL,Honus Wagner,Pittsburgh,0.542
1909,AL,Ty Cobb,Detroit,0.517
1909,NL,Honus Wagner,Pittsburgh,0.489
1910,AL,Ty Cobb,Detroit,0.549
1910,NL,Sherry Magee,Philadelphia,0.507
1911,AL,Ty Cobb,Detroit,0.62
1911,NL,Frank Schulte,Chicago,0.534
1912,AL,Ty Cobb,Detroit,0.584
1912,NL,Heinie Zimmerman,Chicago,0.571
1913,AL,Joe Jackson,Cleveland,0.551
1913,NL,Gavvy Cravath,Philadelphia,0.568
1914,AL,Ty Cobb,Detroit,0.513
1914,NL,Sherry Magee,Philadelphia,0.509
1915,AL,Jack Fournier,Chicago,0.491
1915,NL,Gavvy Cravath,Philadelphia,0.51
1916,AL,Tris Speaker,Cleveland,0.502
1916,NL,Zack Wheat,Brooklyn,0.461
1917,AL,Ty Cobb,Detroit,0.57
1917,NL,Rogers Hornsby,St. Louis,0.484
1918,AL,Babe Ruth,Boston,0.555
1918,NL,Edd Roush,Cincinnati,0.455
1919,AL,Babe Ruth,Boston,0.657
1919,NL,Hy Myers,Brooklyn,0.436
1920,AL,Babe Ruth,New York,0.847
1920,NL,Rogers Hornsby,St. Louis,0.559
1921,AL,Babe Ruth,New York,0.846
