Year,League,Player,Team,Total Bases
1876,NL,Ross Barnes,Chicago,190.0
1877,NL,Deacon White,Boston,145.0
1878,NL,Paul Hines,Providence,125.0
1879,NL,Paul Hines,Providence,197.0
1880,NL,Abner Dalrymple,Chicago,175.0
1881,NL,Cap Anson,Chicago,175.0
1882,NL,Dan Brouthers,Buffalo,192.0
1883,NL,Dan Brouthers,Buffalo,243.0
1884,NL,Abner Dalrymple,Chicago,263.0
1885,NL,Roger Connor,New York,225.0
1886,NL,Dan Brouthers,Detroit,284.0
1887,NL,Dan Brouthers,Detroit,281.0
1888,NL,Jimmy Ryan,Chicago,283.0
1889,NL,Jimmy Ryan,Chicago,297.0
1890,NL,Mike Tiernan,New York,274.0
1891,NL,Harry Stovey,Boston,271.0
1892,NL,Dan Brouthers,Brooklyn,282.0
1893,NL,Ed Delahanty,Philadelphia,347.0
1894,NL,Hugh Duffy,Boston,374.0
1895,NL,Sam Thompson,Philadelphia,352.0
1896,NL,Jesse Burkett,Cleveland,317.0
1897,NL,Nap Lajoie,Philadelphia,311.0
1898,NL,Jimmy Collins,Boston,286.0
1899,NL,Ed Delahanty,Philadelphia,338.0
1900,NL,Honus Wagner,Pittsburgh,302.0
1901,AL,Nap Lajoie,Philadelphia,347.0
1901,NL,Jesse Burkett,St. Louis,306.0
1902,AL,Charlie Hickman,Boston,288.0
1902,NL,Sam Crawford,Cincinnati,256.0
1903,AL,Buck Freeman,Boston,281.0
1903,NL,Ginger Beaumont,Pittsburgh,272.0
1904,AL,Nap Lajoie,Cleveland,305.0
1904,NL,Honus Wagner,Pittsburgh,255.0
1905,AL,George Stone,St. Louis,259.0
1905,NL,Cy Seymour,Cincinnati,325.0
1906,AL,George Stone,St. Louis,291.0
1906,NL,Honus Wagner,Pittsburgh,237.0
1907,AL,Ty Cobb,Detroit,283.0
1907,NL,Honus Wagner,Pittsburgh,264.0
1908,AL,Ty Cobb,Detroit,276.0
1908,NL,Honus Wagner,Pittsburgh,308.0
1909,AL,Ty Cobb,Detroit,296.0
1909,NL,Honus Wagner,Pittsburgh,242.0
1910,AL,Nap Lajoie,Cleveland,304.0
1910,NL,Sherry Magee,Philadelphia,263.0
1911,AL,Ty Cobb,Detroit,367.0
1911,NL,Frank Schulte,Chicago,308.0
1912,AL,Joe Jackson,Cleveland,331.0
1912,NL,Heinie Zimmerman,Chicago,318.0
1913,AL,Sam Crawford,Detroit,298.0
1913,NL,Gavvy Cravath,Philadelphia,298.0
1914,AL,Tris Speaker,Boston,287.0
1914,NL,Sherry Magee,Philadelphia,277.0
1915,AL,Ty Cobb,Detroit,274.0
1915,NL,Gavvy Cravath,Philadelphia,266.0
1916,AL,Joe Jackson,Chicago,293.0
1916,NL,Zack Wheat,Brooklyn,262.0
1917,AL,Ty Cobb,Detroit,335.0
1917,NL,Rogers Hornsby,St. Louis,253.0
1918,AL,George Burns,Philadelphia,236.0
1918,NL,Charlie Hollocher,Chicago,202.0
1919,AL,Babe Ruth,Boston,284.0
1919,NL,Hy Myers,Brooklyn,223.0
1920,AL,George Sisler,St. Louis,399.0
1920,NL,Rogers Hornsby,St. Louis,329.0
1921,AL,Babe Ruth,New York,457.0
1921,NL,Rogers Hornsby,St. Louis,378.0
