Year,League,Player,Team,Triples
1876,NL,Ross Barnes,Chicago,14.0
1877,NL,Deacon White,Boston,11.0
1878,NL,Tom York,Providence,10.0
1879,NL,Buttercup Dickerson,Cincinnati,14.0
1880,NL,Harry Stovey,Worcester,14.0
1881,NL,Jack Rowe,Buffalo,11.0
1882,NL,Roger Connor,Troy,18.0
1883,NL,Dan Brouthers,Buffalo,17.0
1884,NL,Buck Ewing,New York,20.0
1885,NL,Jim O'Rourke,New York,16.0
1886,NL,Roger Connor,New York,20.0
1887,NL,Sam Thompson,Detroit,23.0
1888,NL,Dick Johnston,Boston,18.0
1889,NL,Walt Wilmot,Washington,19.0
1890,NL,John Reilly,Cincinnati,26.0
1891,NL,Harry Stovey,Boston,20.0
1892,NL,Ed Delahanty,Philadelphia,21.0
1893,NL,Perry Werden,St. Louis,29.0
1894,NL,Heinie Reitz,Baltimore,31.0
1895,NL,Kip Selbach,Washington,22.0
1896,NL,Tom McCreery,Louisville,21.0
1897,NL,Harry Davis,Pittsburgh,28.0
1898,NL,John Anderson,Brooklyn,22.0
1899,NL,Jimmy Williams,Pittsburgh,27.0
1900,NL,Honus Wagner,Pittsburgh,22.0
1901,AL,Bill Keister,Baltimore,21.0
1901,NL,Jimmy Sheckard,Brooklyn,19.0
1902,AL,Jimmy Williams,Baltimore,21.0
1902,NL,Sam Crawford,Cincinnati,22.0
1903,AL,Sam Crawford,Detroit,25.0
1903,NL,Honus Wagner,Pittsburgh,19.0
1904,AL,Joe Cassidy,Washington,19.0
1904,NL,Harry Lumley,Brooklyn,18.0
1905,AL,Elmer Flick,Cleveland,18.0
1905,NL,Cy Seymour,Cincinnati,21.0
1906,AL,Elmer Flick,Cleveland,22.0
1906,NL,Fred Clarke,Pittsburgh,13.0
1907,AL,Elmer Flick,Cleveland,18.0
1907,NL,Whitey Alperman,Brooklyn,16.0
1908,AL,Ty Cobb,Detroit,20.0
1908,NL,Honus Wagner,Pittsburgh,19.0
1909,AL,Home Run Baker,Philadelphia,19.0
1909,NL,Mike Mitchell,Cincinnati,17.0
1910,AL,Sam Crawford,Detroit,19.0
1910,NL,Mike Mitchell,Cincinnati,18.0
1911,AL,Ty Cobb,Detroit,24.0
1911,NL,Larry Doyle,New York,25.0
1912,AL,Joe Jackson,Cleveland,26.0
1912,NL,Chief Wilson,Pittsburgh,36.0
1913,AL,Sam Crawford,Detroit,23.0
1913,NL,Vic Saier,Chicago,21.0
1914,AL,Sam Crawford,Detroit,26.0
1914,NL,Max Carey,Pittsburgh,17.0
1915,AL,Sam Crawford,Detroit,19.0
1915,NL,Tom Long,St. Louis,25.0
1916,AL,Joe Jackson,Chicago,21.0
1916,NL,Bill Hinchman,Pittsburgh,16.0
1917,AL,Ty Cobb,Detroit,24.0
1917,NL,Rogers Hornsby,St. Louis,17.0
1918,AL,Ty Cobb,Detroit,14.0
1918,NL,Jake Daubert,Brooklyn,15.0
1919,AL,Bobby Veach,Detroit,17.0
1919,NL,Hy Myers,Brooklyn,14.0
1920,AL,Joe Jackson,Chicago,20.0
1920,NL,Hy Myers,Brooklyn,22.0
1921,AL,Howie Shanks,Washington,18.0
1921,NL,Rogers Hornsby,St. Louis,18.0
1922,AL,George Sisler,St. Louis,18.0
1922,NL,Jake Daubert,Cincinnati,22.0
