Year,League,Player,Team,Base on Balls
Year,AL,American League,Team(s),BB
Year,NL,National League,Team(s),BB
1876,AL,-,-,-
1876,NL,Ross Barnes,Chicago,20
1877,AL,-,-,-
1877,NL,Jim O'Rourke,Boston,20
1878,AL,-,-,-
1878,NL,Terry Larkin,Chicago,17
1879,AL,-,-,-
1879,NL,Charley Jones,Boston,29
1880,AL,-,-,-
1880,NL,Bob Ferguson,Troy,24
1881,AL,-,-,-
1881,NL,John Clapp,Cleveland,35
1882,AL,-,-,-
1882,NL,George Gore,Chicago,29
1883,AL,-,-,-
1883,NL,Tom York,Cleveland,37
1884,AL,-,-,-
1884,NL,George Gore,Chicago,61
1885,AL,-,-,-
1885,NL,Ned Williamson,Chicago,75
1886,AL,-,-,-
1886,NL,George Gore,Chicago,102
1887,AL,-,-,-
1887,NL,Jim Fogarty,Philadelphia,82
1888,AL,-,-,-
1888,NL,Roger Connor,New York,73
1889,AL,-,-,-
1889,NL,Mike Tiernan,New York,96
1890,AL,-,-,-
1890,NL,Cap Anson,Chicago,113
1891,AL,-,-,-
1891,NL,Billy Hamilton,Philadelphia,102
1892,AL,-,-,-
1892,NL,Jack Crooks,St. Louis,136
1893,AL,-,-,-
1893,NL,Jack Crooks,St. Louis,121
1894,AL,-,-,-
1894,NL,Billy Hamilton,Philadelphia,126
1895,AL,-,-,-
1895,NL,Billy Hamilton,Philadelphia,96
1896,AL,-,-,-
1896,NL,Billy Hamilton,Boston,110
1897,AL,-,-,-
1897,NL,Billy Hamilton,Boston,105
1898,AL,-,-,-
1898,NL,John McGraw,Baltimore,112
1899,AL,-,-,-
1899,NL,John McGraw,Baltimore,124
1900,AL,-,-,-
1900,NL,Roy Thomas,Philadelphia,115
1901,AL,Dummy Hoy,Chicago,86
1901,NL,Roy Thomas,Philadelphia,100
1902,AL,Topsy Hartsel,Philadelphia,87
1902,NL,Roy Thomas,Philadelphia,107
1903,AL,Jimmy Barrett,Detroit,74
1903,NL,Roy Thomas,Philadelphia,107
1904,AL,Jimmy Barrett,Detroit,79
1904,NL,Roy Thomas,Philadelphia,102
1905,AL,Topsy Hartsel,Philadelphia,121
1905,NL,Miller Huggins,Cincinnati,103
1906,AL,Topsy Hartsel,Philadelphia,88
1906,NL,Roy Thomas,Philadelphia,107
1907,AL,Topsy Hartsel,Philadelphia,106
1907,NL,Miller Huggins,Cincinnati,83
1908,AL,Topsy Hartsel,Philadelphia,93
1908,NL,Roger Bresnahan,New York,83
1909,AL,Donie Bush,Detroit,88
1909,NL,Fred Clarke,Pittsburgh,80
1910,AL,Donie Bush,Detroit,78
1910,NL,Miller Huggins,St. Louis,116
1911,AL,Donie Bush,Detroit,98
1911,NL,Jimmy Sheckard,Chicago,147
1912,AL,Donie Bush,Detroit,117
1912,NL,Jimmy Sheckard,Chicago,122
1913,AL,Burt Shotton,St. Louis,99
1913,NL,Bob Bescher,Cincinnati,94
1914,AL,Donie Bush,Detroit,112
1914,NL,Miller Huggins,St. Louis,105
1915,AL,Eddie Collins,Chicago,119
1915,NL,Gavvy Cravath,Philadelphia,86
1916,AL,Burt Shotton,St. Louis,110
1916,NL,Heinie Groh,Cincinnati,84
1917,AL,Jack Graney,Cleveland,94
1917,NL,George Burns,New York,75
1918,AL,Ray Chapman,Cleveland,84
1918,NL,Max Carey,Pittsburgh,62
1919,AL,Jack Graney,Cleveland,105
1919,NL,George Burns,New York,82
1920,AL,Babe Ruth,New York,150
1920,NL,George Burns,New York,76
1921,AL,Babe Ruth,New York,145
1921,NL,George Burns,New York,80
1922,AL,Whitey Witt,New York,89
1922,NL,Max Carey,Pittsburgh,80
1923,AL,Babe Ruth,New York,170
1923,NL,George Burns,Cincinnati,101
1924,AL,Babe Ruth,New York,142
1924,NL,Rogers Hornsby,St. Louis,89
1925,AL,Willie Kamm,Chicago,90
