Year,League,Player,Team,Hits
Year,AL,American League,Team(s),Hits
Year,NL,National League,Team(s),Hits
1876,AL,-,-,-
1876,NL,Ross Barnes,Chicago,138
1877,AL,-,-,-
1877,NL,Deacon White,Boston,103
1878,AL,-,-,-
1878,NL,Joe Start,Chicago,100
1879,AL,-,-,-
1879,NL,Paul Hines,Providence,146
1880,AL,-,-,-
1880,NL,Abner Dalrymple,Chicago,126
1881,AL,-,-,-
1881,NL,Cap Anson,Chicago,137
1882,AL,-,-,-
1882,NL,Dan Brouthers,Buffalo,129
1883,AL,-,-,-
1883,NL,Dan Brouthers,Buffalo,159
1884,AL,-,-,-
1884,NL,Jim O'Rourke,Buffalo,162
1885,AL,-,-,-
1885,NL,Roger Connor,New York,169
1886,AL,-,-,-
1886,NL,Hardy Richardson,Detroit,189
1887,AL,-,-,-
1887,NL,Sam Thompson,Detroit,171
1888,AL,-,-,-
1888,NL,Jimmy Ryan,Chicago,182
1889,AL,-,-,-
1889,NL,Jack Glasscock,Indianapolis,205
1890,AL,-,-,-
1890,NL,Jack Glasscock,New York,172
1891,AL,-,-,-
1891,NL,Billy Hamilton,Philadelphia,179
1892,AL,-,-,-
1892,NL,Dan Brouthers,Brooklyn,197
1893,AL,-,-,-
1893,NL,Sam Thompson,Philadelphia,222
1894,AL,-,-,-
1894,NL,Hugh Duffy,Boston,237
1895,AL,-,-,-
1895,NL,Jesse Burkett,Cleveland,225
1896,AL,-,-,-
1896,NL,Jesse Burkett,Cleveland,240
1897,AL,-,-,-
1897,NL,Willie Keeler,Baltimore,239
1898,AL,-,-,-
1898,NL,Willie Keeler,Baltimore,216
1899,AL,-,-,-
1899,NL,Ed Delahanty,Philadelphia,238
1900,AL,-,-,-
1900,NL,Willie Keeler,Brooklyn,204
1901,AL,Nap Lajoie,Philadelphia,229
1901,NL,Jesse Burkett,St. Louis,226
1902,AL,Charlie Hickman,Boston,193
1902,NL,Ginger Beaumont,Pittsburgh,193
1903,AL,Patsy Dougherty,Boston,195
1903,NL,Ginger Beaumont,Pittsburgh,209
1904,AL,Nap Lajoie,Cleveland,211
1904,NL,Ginger Beaumont,Pittsburgh,185
1905,AL,George Stone,St. Louis,187
1905,NL,Cy Seymour,Cincinnati,219
1906,AL,Nap Lajoie,Cleveland,214
1906,NL,Harry Steinfeldt,Chicago,176
1907,AL,Ty Cobb,Detroit,212
1907,NL,Ginger Beaumont,Boston,187
1908,AL,Ty Cobb,Detroit,188
1908,NL,Honus Wagner,Pittsburgh,201
1909,AL,Ty Cobb,Detroit,216
1909,NL,Larry Doyle,New York,172
1910,AL,Nap Lajoie,Cleveland,227
1910,NL,Bobby Byrne,Pittsburgh,178
1911,AL,Ty Cobb,Detroit,248
