Year,League,Player,Team,RBI
Year,AL,American League,Team(s),RBI
Year,NL,National League,Team(s),RBI
1876,AL,-,-,-
1876,NL,Deacon White,Chicago,60
1877,AL,-,-,-
1877,NL,Deacon White,Boston,49
1878,AL,-,-,-
1878,NL,Paul Hines,Providence,50
1879,AL,-,-,-
1879,NL,Charley Jones,Boston,62
1880,AL,-,-,-
1880,NL,Cap Anson,Chicago,74
1881,AL,-,-,-
1881,NL,Cap Anson,Chicago,82
1882,AL,-,-,-
1882,NL,Cap Anson,Chicago,83
1883,AL,-,-,-
1883,NL,Dan Brouthers,Buffalo,97
1884,AL,-,-,-
1884,NL,Cap Anson,Chicago,102
1885,AL,-,-,-
1885,NL,Cap Anson,Chicago,108
1886,AL,-,-,-
1886,NL,Cap Anson,Chicago,147
1887,AL,-,-,-
1887,NL,Sam Thompson,Detroit,166
1888,AL,-,-,-
1888,NL,Cap Anson,Chicago,84
1889,AL,-,-,-
1889,NL,Roger Connor,New York,130
1890,AL,-,-,-
1890,NL,Oyster Burns,Brooklyn,128
1891,AL,-,-,-
1891,NL,Cap Anson,Chicago,120
1892,AL,-,-,-
1892,NL,Dan Brouthers,Brooklyn,124
1893,AL,-,-,-
1893,NL,Ed Delahanty,Philadelphia,146
1894,AL,-,-,-
1894,NL,Hugh Duffy,Boston,145
1895,AL,-,-,-
1895,NL,Sam Thompson,Philadelphia,165
1896,AL,-,-,-
1896,NL,Ed Delahanty,Philadelphia,126
1897,AL,-,-,-
1897,NL,George Davis,New York,136
1898,AL,-,-,-
1898,NL,Nap Lajoie,Philadelphia,127
1899,AL,-,-,-
1899,NL,Ed Delahanty,Philadelphia,137
1900,AL,-,-,-
1900,NL,Elmer Flick,Philadelphia,110
1901,AL,Nap Lajoie,Philadelphia,125
1901,NL,Honus Wagner,Pittsburgh,126
1902,AL,Buck Freeman,Boston,121
1902,NL,Honus Wagner,Pittsburgh,91
1903,AL,Buck Freeman,Boston,104
1903,NL,Sam Mertes,New York,104
1904,AL,Nap Lajoie,Cleveland,102
1904,NL,Bill Dahlen,New York,80
1905,AL,Harry Davis,Philadelphia,83
1905,NL,Cy Seymour,Cincinnati,121
1906,AL,Harry Davis,Philadelphia,96
1906,NL,Joe Nealon,Pittsburgh,83
1907,AL,Ty Cobb,Detroit,119
1907,NL,Sherry Magee,Philadelphia,85
1908,AL,Ty Cobb,Detroit,108
1908,NL,Honus Wagner,Pittsburgh,109
1909,AL,Ty Cobb,Detroit,107
1909,NL,Honus Wagner,Pittsburgh,100
1910,AL,Sam Crawford,Detroit,120
1910,NL,Sherry Magee,Philadelphia,123
1911,AL,Ty Cobb,Detroit,127
1911,NL,Frank Schulte,Chicago,107
1912,AL,Home Run Baker,Philadelphia,130
1912,NL,Honus Wagner,Pittsburgh,102
1913,AL,Home Run Baker,Philadelphia,117
1913,NL,Gavvy Cravath,Philadelphia,128
1914,AL,Sam Crawford,Detroit,104
1914,NL,Sherry Magee,Philadelphia,103
1915,AL,Sam Crawford,Detroit,112
1915,NL,Gavvy Cravath,Philadelphia,115
1916,AL,Del Pratt,St. Louis,103
1916,NL,Heinie Zimmerman,Chicago,83
1917,AL,Bobby Veach,Detroit,103
1917,NL,Heinie Zimmerman,New York,102
1918,AL,Bobby Veach,Detroit,78
1918,NL,Sherry Magee,Cincinnati,76
1919,AL,Babe Ruth,Boston,114
1919,NL,Hy Myers,Brooklyn,73
1920,AL,Babe Ruth,New York,137
1920,NL,Rogers Hornsby,St. Louis,94
1921,AL,Babe Ruth,New York,171
1921,NL,Rogers Hornsby,St. Louis,126
1922,AL,Ken Williams,St. Louis,155
1922,NL,Rogers Hornsby,St. Louis,152
1923,AL,Babe Ruth,New York,131
1923,NL,Irish Meusel,New York,125
1924,AL,Goose Goslin,Washington,129
1924,NL,High Pockets Kelly,New York,136
1925,AL,Bob Meusel,New York,138
1925,NL,Rogers Hornsby,St. Louis,143
1926,AL,Babe Ruth,New York,146
1926,NL,Jim Bottomley,St. Louis,120
1927,AL,Lou Gehrig,New York,175
1927,NL,Paul Waner,Pittsburgh,131
1928,AL,Lou Gehrig,New York,142
1928,NL,Jim Bottomley,St. Louis,136
1929,AL,Al Simmons,Philadelphia,157
1929,NL,Hack Wilson,Chicago,159
1930,AL,Lou Gehrig,New York,174
1930,NL,Hack Wilson,Chicago,191
1931,AL,Lou Gehrig,New York,184
1931,NL,Chuck Klein,Philadelphia,121
1932,AL,Jimmie Foxx,Philadelphia,169
1932,NL,Don Hurst,Philadelphia,143
1933,AL,Jimmie Foxx,Philadelphia,163
1933,NL,Chuck Klein,Philadelphia,120
1934,AL,Lou Gehrig,New York,165
1934,NL,Mel Ott,New York,135
1935,AL,Hank Greenberg,Detroit,170
1935,NL,Wally Berger,Boston,130
1936,AL,Hal Trosky,Cleveland,162
1936,NL,Joe Medwick,St. Louis,138
1937,AL,Hank Greenberg,Detroit,183
1937,NL,Joe Medwick,St. Louis,154
1938,AL,Jimmie Foxx,Boston,175
1938,NL,Joe Medwick,St. Louis,122
1939,AL,Ted Williams,Boston,145
1939,NL,Frank McCormick,Cincinnati,128
1940,AL,Hank Greenberg,Detroit,150
1940,NL,Johnny Mize,St. Louis,137
1941,AL,Joe DiMaggio,New York,125
1941,NL,Dolph Camilli,Brooklyn,120
1942,AL,Ted Williams,Boston,137
1942,NL,Johnny Mize,New York,110
1943,AL,Rudy York,Detroit,118
1943,NL,Bill Nicholson,Chicago,128
1944,AL,Vern Stephens,St. Louis,109
1944,NL,Bill Nicholson,Chicago,122
1945,AL,Nick Etten,New York,111
1945,NL,Dixie Walker,Brooklyn,124
1946,AL,Hank Greenberg,Detroit,127
1946,NL,Enos Slaughter,St. Louis,130
1947,AL,Ted Williams,Boston,114
