Year,League,Player,Team,Stolen Bases
Year,AL,American League,Team(s),Stolen
Year,NL,National League,Team(s),Stolen
1876,AL,-,-,-
1876,NL,-,-,-
1877,AL,-,-,-
1877,NL,-,-,-
1878,AL,-,-,-
1878,NL,-,-,-
1879,AL,-,-,-
1879,NL,-,-,-
1880,AL,-,-,-
1880,NL,-,-,-
1881,AL,-,-,-
1881,NL,-,-,-
1882,AL,-,-,-
1882,NL,-,-,-
1883,AL,-,-,-
1883,NL,-,-,-
1884,AL,-,-,-
1884,NL,-,-,-
1885,AL,-,-,-
1885,NL,-,-,-
1886,AL,-,-,-
1886,NL,Ed Andrews,Philadelphia,56
1887,AL,-,-,-
1887,NL,John Ward,New York,111
1888,AL,-,-,-
1888,NL,Dummy Hoy,Washington,82
1889,AL,-,-,-
1889,NL,Jim Fogarty,Philadelphia,99
1890,AL,-,-,-
1890,NL,Billy Hamilton,Philadelphia,102
1891,AL,-,-,-
1891,NL,Billy Hamilton,Philadelphia,111
1892,AL,-,-,-
1892,NL,John Ward,Brooklyn,88
1893,AL,-,-,-
1893,NL,Tom Brown,Louisville,66
1894,AL,-,-,-
1894,NL,Billy Hamilton,Philadelphia,98
1895,AL,-,-,-
1895,NL,Billy Hamilton,Philadelphia,97
1896,AL,-,-,-
1896,NL,Joe Kelley,Baltimore,87
1897,AL,-,-,-
1897,NL,Bill Lange,Chicago,73
1898,AL,-,-,-
1898,NL,Ed Delahanty,Philadelphia,58
1899,AL,-,-,-
1899,NL,Jimmy Sheckard,Baltimore,77
1900,AL,-,-,-
1900,NL,Patsy Donovan,St. Louis,45
1901,AL,Frank Isbell,Chicago,52
1901,NL,Honus Wagner,Pittsburgh,49
1902,AL,Topsy Hartsel,Philadelphia,47
1902,NL,Honus Wagner,Pittsburgh,42
1903,AL,Harry Bay,Cleveland,45
1903,NL,Frank Chance,Chicago,67
1904,AL,Harry Bay,Cleveland,38
1904,NL,Honus Wagner,Pittsburgh,53
1905,AL,Danny Hoffman,Philadelphia,46
1905,NL,Art Devlin,New York,59
1906,AL,John Anderson,Washington,39
1906,NL,Frank Chance,Chicago,57
1907,AL,Ty Cobb,Detroit,49
1907,NL,Honus Wagner,Pittsburgh,61
1908,AL,Patsy Dougherty,Chicago,47
1908,NL,Honus Wagner,Pittsburgh,53
1909,AL,Ty Cobb,Detroit,76
1909,NL,Bob Bescher,Cincinnati,54
1910,AL,Eddie Collins,Philadelphia,81
1910,NL,Bob Bescher,Cincinnati,70
1911,AL,Ty Cobb,Detroit,83
1911,NL,Bob Bescher,Cincinnati,80
1912,AL,Clyde Milan,Washington,88
1912,NL,Bob Bescher,Cincinnati,67
1913,AL,Clyde Milan,Washington,75
1913,NL,Max Carey,Pittsburgh,61
1914,AL,Fritz Maisel,New York,74
1914,NL,George Burns,New York,62
1915,AL,Ty Cobb,Detroit,96
1915,NL,Max Carey,Pittsburgh,36
1916,AL,Ty Cobb,Detroit,68
1916,NL,Max Carey,Pittsburgh,63
1917,AL,Ty Cobb,Detroit,55
1917,NL,Max Carey,Pittsburgh,46
1918,AL,George Sisler,St. Louis,45
1918,NL,Max Carey,Pittsburgh,58
1919,AL,Eddie Collins,Chicago,33
1919,NL,George Burns,New York,40
1920,AL,Sam Rice,Washington,63
1920,NL,Max Carey,Pittsburgh,52
1921,AL,George Sisler,St. Louis,35
1921,NL,Frankie Frisch,New York,49
1922,AL,George Sisler,St. Louis,51
1922,NL,Max Carey,Pittsburgh,51
1923,AL,Eddie Collins,Chicago,48
1923,NL,Max Carey,Pittsburgh,51
1924,AL,Eddie Collins,Chicago,42
1924,NL,Max Carey,Pittsburgh,49
1925,AL,Johnny Mostil,Chicago,43
1925,NL,Max Carey,Pittsburgh,46
1926,AL,Johnny Mostil,Chicago,35
1926,NL,Kiki Cuyler,Pittsburgh,35
1927,AL,George Sisler,St. Louis,27
1927,NL,Frankie Frisch,St. Louis,48
1928,AL,Buddy Myer,Boston,30
1928,NL,Kiki Cuyler,Chicago,37
1929,AL,Charlie Gehringer,Detroit,27
1929,NL,Kiki Cuyler,Chicago,43
1930,AL,Marty McManus,Detroit,23
1930,NL,Kiki Cuyler,Chicago,37
1931,AL,Ben Chapman,New York,61
1931,NL,Frankie Frisch,St. Louis,28
1932,AL,Ben Chapman,New York,38
1932,NL,Chuck Klein,Philadelphia,20
1933,AL,Ben Chapman,New York,27
1933,NL,Pepper Martin,St. Louis,26
