Year,League,Player,Team,Triples
Year,AL,American League,Team(s),Triples
Year,NL,National League,Team(s),Triples
1876,AL,-,-,-
1876,NL,Ross Barnes,Chicago,14
1877,AL,-,-,-
1877,NL,Deacon White,Boston,11
1878,AL,-,-,-
1878,NL,Tom York,Providence,10
1879,AL,-,-,-
1879,NL,Buttercup Dickerson,Cincinnati,14
1880,AL,-,-,-
1880,NL,Harry Stovey,Worcester,14
1881,AL,-,-,-
1881,NL,Jack Rowe,Buffalo,11
1882,AL,-,-,-
1882,NL,Roger Connor,Troy,18
1883,AL,-,-,-
1883,NL,Dan Brouthers,Buffalo,17
1884,AL,-,-,-
1884,NL,Buck Ewing,New York,20
1885,AL,-,-,-
1885,NL,Jim O'Rourke,New York,16
1886,AL,-,-,-
1886,NL,Roger Connor,New York,20
1887,AL,-,-,-
1887,NL,Sam Thompson,Detroit,23
1888,AL,-,-,-
1888,NL,Dick Johnston,Boston,18
1889,AL,-,-,-
1889,NL,Walt Wilmot,Washington,19
1890,AL,-,-,-
1890,NL,John Reilly,Cincinnati,26
1891,AL,-,-,-
1891,NL,Harry Stovey,Boston,20
1892,AL,-,-,-
1892,NL,Ed Delahanty,Philadelphia,21
1893,AL,-,-,-
1893,NL,Perry Werden,St. Louis,29
1894,AL,-,-,-
1894,NL,Heinie Reitz,Baltimore,31
1895,AL,-,-,-
1895,NL,Kip Selbach,Washington,22
1896,AL,-,-,-
1896,NL,Tom McCreery,Louisville,21
1897,AL,-,-,-
1897,NL,Harry Davis,Pittsburgh,28
1898,AL,-,-,-
1898,NL,John Anderson,Brooklyn,22
1899,AL,-,-,-
1899,NL,Jimmy Williams,Pittsburgh,27
1900,AL,-,-,-
1900,NL,Honus Wagner,Pittsburgh,22
1901,AL,Bill Keister,Baltimore,21
1901,NL,Jimmy Sheckard,Brooklyn,19
1902,AL,Jimmy Williams,Baltimore,21
1902,NL,Sam Crawford,Cincinnati,22
1903,AL,Sam Crawford,Detroit,25
1903,NL,Honus Wagner,Pittsburgh,19
1904,AL,Joe Cassidy,Washington,19
1904,NL,Harry Lumley,Brooklyn,18
1905,AL,Elmer Flick,Cleveland,18
1905,NL,Cy Seymour,Cincinnati,21
1906,AL,Elmer Flick,Cleveland,22
1906,NL,Fred Clarke,Pittsburgh,13
1907,AL,Elmer Flick,Cleveland,18
1907,NL,Whitey Alperman,Brooklyn,16
1908,AL,Ty Cobb,Detroit,20
1908,NL,Honus Wagner,Pittsburgh,19
1909,AL,Home Run Baker,Philadelphia,19
1909,NL,Mike Mitchell,Cincinnati,17
1910,AL,Sam Crawford,Detroit,19
1910,NL,Mike Mitchell,Cincinnati,18
1911,AL,Ty Cobb,Detroit,24
1911,NL,Larry Doyle,New York,25
1912,AL,Joe Jackson,Cleveland,26
1912,NL,Chief Wilson,Pittsburgh,36
1913,AL,Sam Crawford,Detroit,23
1913,NL,Vic Saier,Chicago,21
1914,AL,Sam Crawford,Detroit,26
1914,NL,Max Carey,Pittsburgh,17
1915,AL,Sam Crawford,Detroit,19
1915,NL,Tom Long,St. Louis,25
1916,AL,Joe Jackson,Chicago,21
1916,NL,Bill Hinchman,Pittsburgh,16
1917,AL,Ty Cobb,Detroit,24
1917,NL,Rogers Hornsby,St. Louis,17
1918,AL,Ty Cobb,Detroit,14
1918,NL,Jake Daubert,Brooklyn,15
1919,AL,Bobby Veach,Detroit,17
1919,NL,Hy Myers,Brooklyn,14
1920,AL,Joe Jackson,Chicago,20
1920,NL,Hy Myers,Brooklyn,22
1921,AL,Howie Shanks,Washington,18
1921,NL,Rogers Hornsby,St. Louis,18
1922,AL,George Sisler,St. Louis,18
1922,NL,Jake Daubert,Cincinnati,22
1923,AL,Goose Goslin,Washington,18
1923,NL,Max Carey,Pittsburgh,19
1924,AL,Wally Pipp,New York,19
1924,NL,Edd Roush,Cincinnati,21
1925,AL,Goose Goslin,Washington,20
1925,NL,Kiki Cuyler,Pittsburgh,26
1926,AL,Lou Gehrig,New York,20
1926,NL,Paul Waner,Pittsburgh,22
1927,AL,Earle Combs,New York,23
1927,NL,Paul Waner,Pittsburgh,18
1928,AL,Earle Combs,New York,21
1928,NL,Jim Bottomley,St. Louis,20
1929,AL,Charlie Gehringer,Detroit,19
1929,NL,Lloyd Waner,Pittsburgh,20
1930,AL,Earle Combs,New York,22
1930,NL,Adam Comorosky,Pittsburgh,23
1931,AL,Roy Johnson,Detroit,19
1931,NL,Bill Terry,New York,20
1932,AL,Joe Cronin,Washington,18
1932,NL,Babe Herman,Cincinnati,19
1933,AL,Heinie Manush,Washington,17
1933,NL,Arky Vaughan,Pittsburgh,19
1934,AL,Ben Chapman,New York,13
1934,NL,Joe Medwick,St. Louis,18
1935,AL,Joe Vosmik,Cleveland,20
1935,NL,Ival Goodman,Cincinnati,18
1936,AL,Earl Averill,Cleveland,15
1936,NL,Ival Goodman,Cincinnati,14
1937,AL,Mike Kreevich,Chicago,16
1937,NL,Arky Vaughan,Pittsburgh,17
1938,AL,Jeff Heath,Cleveland,18
1938,NL,Johnny Mize,St. Louis,16
1939,AL,Buddy Lewis,Washington,16
1939,NL,Billy Herman,Chicago,18
1940,AL,Barney McCosky,Detroit,19
1940,NL,Arky Vaughan,Pittsburgh,15
1941,AL,Jeff Heath,Cleveland,20
1941,NL,Pete Reiser,Brooklyn,17
1942,AL,Stan Spence,Washington,15
1942,NL,Enos Slaughter,St. Louis,17
1943,AL,Johnny Lindell,New York,12
1943,NL,Stan Musial,St. Louis,20
1944,AL,Johnny Lindell,New York,16
1944,NL,Johnny Barrett,Pittsburgh,19
1945,AL,Snuffy Stirnweiss,New York,22
1945,NL,Luis Olmo,Brooklyn,13
1946,AL,Hank Edwards,Cleveland,16
1946,NL,Stan Musial,St. Louis,20
1947,AL,Tommy Henrich,New York,13
1947,NL,Harry Walker,Philadelphia,16
